Year,Company ,Category,Revenue,Gross Profit,Net Income,Share Holder Equity,Debt/Equity Ratio,ROI,Net Profit Margin,Gross margin %
2012,INTC,ELEC,53341,33151,11005,51203,0.2626,17.1047,20.63140923,62.14919105
2011,INTC,ELEC,53999,33757,12942,45911,0.1597,24.4212,23.9671105,62.51412063
2010,INTC,ELEC,43623,28491,11464,49430,0.0428,22.2572,26.27971483,65.31187676
2009,INTC,ELEC,35127,19561,4369,41704,0.0533,9.9856,12.43772597,55.68650895
2022,AMZN,LOGI,513983,225152,-2722,146043,0.4598,-1.2768,-0.5295895,43.80533987
2021,AMZN,LOGI,469822,197478,33364,138245,0.3526,17.8428,7.101412876,42.03251444
2020,AMZN,LOGI,386064,152757,21331,93404,0.3406,17.0348,5.5252497,39.56779187
2019,AMZN,LOGI,280522,114986,11588,62060,0.3773,13.5573,4.130870306,40.99001148
2018,AMZN,LOGI,232887,93731,10073,43549,0.5395,15.0245,4.325273631,40.24741613
2017,AMZN,LOGI,177866,65932,3033,27709,0.893,5.7824,1.705216286,37.06835483
2016,AMZN,LOGI,135987,47722,2371,19285,0.399,8.7883,1.743549016,35.09306037
2015,AMZN,LOGI,107006,35355,596,13384,0.6147,2.7579,0.556978113,33.04020335
2014,AMZN,LOGI,88988,26236,-241,10741,0.7695,-1.268,-0.270823032,29.48262687
2013,AMZN,LOGI,74452,20271,274,9746,0.3274,2.118,0.36802235,27.22693816
2012,AMZN,LOGI,61093,15122,-39,8192,0.3765,-0.3459,-0.063837101,24.75242663
2011,AMZN,LOGI,48077,10789,631,7757,0.0329,7.8757,1.3124779,22.44108409
2010,AMZN,LOGI,34204,7643,1152,6864,0.2274,13.6736,3.368027131,22.34533973
2009,AMZN,LOGI,24509,5531,902,5257,0.2007,17.1581,3.680280713,22.5672202
